ticker,company_name,sector,industry,fiscal_year_end,COGS_to_Revenue,Gross_Margin,SGA_to_Revenue,Net_Margin,Cash_to_Assets,Receivables_to_Assets,Inventory_to_Assets,PPE_to_Assets,Debt_to_Assets,Equity_to_Assets
LOW,Lowes Companies,Consumer Discretionary,Home Improvement,2026-01-31,0.6652411746980971,0.334758825301903,0.19459703775815312,0.0771156386899381,0.018136820330969267,0.020131501182033096,0.31951832151300236,0.41860593971631205,0.8251514479905437,-0.1831597222222222
LOW,Lowes Companies,Consumer Discretionary,Home Improvement,2025-01-31,0.6668379663933839,0.33316203360661617,0.18741783588689437,0.08314410689102947,0.04085657278084544,0.0021808732773421187,0.34942950879837675,0.4961950721544244,0.920560530833836,-0.33017029372186907
LOW,Lowes Companies,Consumer Discretionary,Home Improvement,2024-01-31,0.6660685136089468,0.3339314863910532,0.18025631823286292,0.08944510691503525,0.02203612872353152,0.04390630682866237,0.34942950879837675,0.5116880009570522,0.9605215934920445,-0.36009091996650316
LOW,Lowes Companies,Consumer Discretionary,Home Improvement,2023-01-31,0.6676557557774138,0.33234424422258624,0.2094808312469735,0.06632048547790519,0.030841035965955887,0.04390630682866237,0.34942950879837675,0.48240596687105336,0.8692687837466825,-0.3261187883225039
NKE,Nike Inc,Consumer Discretionary,Footwear,2025-05-31,0.5726532639443737,0.42734673605562634,0.3474054719385001,0.06951132609212032,0.20405150496186336,0.12895377128953772,0.20473495721588889,0.206129199814101,0.3012110773941332,0.3612181852975751
NKE,Nike Inc,Consumer Discretionary,Footwear,2024-05-31,0.5543981932167751,0.445601806783225,0.3227288656983762,0.11097698687745804,0.2587247441616374,0.11616373655208606,0.1972972972972973,0.2025190238782472,0.3136184728417738,0.3786407766990291
NKE,Nike Inc,Consumer Discretionary,Footwear,2023-05-31,0.564753890309858,0.43524610969014194,0.3197571118964406,0.09899056953745826,0.19826276944392635,0.1100690096187152,0.22525379020010125,0.21326370200634143,0.32357251338893184,0.37313154458980574
NKE,Nike Inc,Consumer Discretionary,Footwear,2022-05-31,0.5401627060586598,0.4598372939413402,0.3169342753157782,0.12943695140226932,0.21264353562659657,0.11574613724858014,0.2088241859080876,0.19138910245281615,0.31316187594553707,0.37898365615932145
SBUX,Starbucks Corp,Consumer Discretionary,Restaurants,2025-09-30,0.7722889168576069,0.22771108314239305,0.07038435472940266,0.049924161745248004,0.10055684469248619,0.03989731321655106,0.06825797868187397,0.5561950923962435,0.8310977304596857,-0.2526319734413502
SBUX,Starbucks Corp,Consumer Discretionary,Restaurants,2024-09-30,0.7316163665614409,0.26838363343855903,0.06975027780695596,0.10396061498996578,0.10485875561994046,0.0387309225158188,0.0567115411001522,0.5728175166643799,0.82334640531218,-0.2374526552922369
